(56, 'Lydia', 242, '4:02', '5YXJJqixatND7o7FJZYE9u', 'WRCFZLtvU4I'),
(57, 'Il Gulliver', 713, '11:53', '3pUTJPIxhaMMFKhiMnfi1R', 'ev-bR9ii7Gs'),
(58, 'Where Is My Mind? - Remastered', 234, '3:54', '22uRfcIccWOUVQmGLb880b', 'LZUfT90-qbg'),
(59, 'Puppet Master', 195, '3:15', '7wCmS9TTVUcIhRalDYFgPy', '6VG6gIvcjU8'),
(60, 'G.O.A.T.', 215, '3:35', '7Ehz2k1K2YJ5xbyAAfaPAa', 'TU9K-dIPNjY'),
(61, 'Dance With The Devil', 227, '3:47', '0maCwhZTO3PybhSiQcsjAf', '9_gkpYORQLU'),
(62, 'Song', 66, '1:06', '10ASBwZsp7oUUDsJEYz3uS', 'lMSkC2PGyTs'),
(63, 'Pull Me Under', 493, '8:13', '3kskCyy7sIc8QLvYLLfgCS', 'G9Qm7P_9DBs'),
(64, 'Pizza Party', 37, '0:37', '5CPXR6lDTvngxtmMZxnWmC', 'SGRgAULYgWE'),
(65, 'Ectoplasmi', 160, '2:40', '71JxQ83AcCtRSkRl0Z4arc', 'ojMkw6lZ-PY'),
(66, 'Paranoia Mia', 151, '2:31', '1pvRXeYnWAKrGIKU7RNAh2', '5DpO4YtJjgs'),
(67, 'Nostalgia III', 163, '2:43', '4uiVtLME2Rm0XGRK6M2MLV', 'YDNk2luWL4k'),
(68, 'Beware', 360, '6:00', '5ujXF8foxezaWrNYgl4wap', 'fxpzGCABBQM'),
(69, 'Burn Everything I Love', 197, '3:17', '2ASygm7048ssav4ekbehPS', 'FzjaN0gPvaE'),
(70, 'Disappear', 258, '4:18', '4ZlQqQ1v8iGhbbXOoJAHlj', 'qDw9IyCvCjQ'),
(71, 'Stay', 203, '3:23', '2yGNMQdHfTQl61CGYHWnZP', 'wcl2Y87HpBc'),
(72, '4\'18" \'Till the End', 258, '4:18', '6bB1qVK9sTIFDeY7TN9iN6', 'NPEUTEkraWw'),
(73, 'Beneath Broken Earth', 368, '6:08', '1EwRARiZtp6P0X9wrlKsmq', 'oJ4huVMPcGg'),
(74, 'Beyond The Pale', 271, '4:31', '5GMsR3SIWPnMuslzA9NjHb', '55XlIPzY5q0'),
(75, 'Take Me Out', 237, '3:57', '2kHl3Ngt6kJsCuwq23KMIE', 'MVdflCH76t4'),
(76, "I Jus' Lie", 213, '3:33', '20I8RduZC2PWMWTDCZuuAN', 'Ijk4j-r7qPA'),
(77, 'Map Change', 296, '4:56', '1Y2x4mhAdig0dbnSFvXXTm', 'JvBKa8xXIyk'),
(78, 'Drink About It', 209, '3:29', '6wqBUUWSTn39vEXVM67avV', '_Gau6SL-Xt0'),
(79, 'Rage', 216, '3:36', '1N7Cth0BJBouZo421WnFjx', '1rgY6TOREIE'),
(80, 'Kill Me', 190, '3:10', '013gFBH6Qqs79Zbj7WOdsu', 'LlPO4ccQZzM'),
(81, 'Hurricane', 152, '2:32', '35NKNra8aqPeTzAZUjss9k', '8IvpFDHmcN4'),
(82, 'L’enfer', 189, '3:09', '6QNJfu01hcQ8n8taGXXEqY', 'cyjmd00s-_Q'),
(83, 'The Sethian', 411, '6:51', '7bp3zmEvpHLa0h32nhDUkB', 'DO8NSL5Wyeg'),
(84, 'Blame Shift', 185, '3:05', '6w7h94URhGOI6H7G3NgMTT', '-phF9gy10Jk'),
(85, 'BITE MY FACE (FEAT. COREY TAYLOR)', 186, '3:06', '5RLj6WDkoyTTNWVMCegsan', '5XnybY1kEXc'),
(86, 'Takizawa', 178, '2:58', '5edonX335e9w96au4UTRn5', 'xErIQk5a2j0'),
(87, 'MIDDLE OF THE NIGHT', 184, '3:04', '4sWdEdwQ9qv31YEqj6qFI6', '-Jc9_ki56qo'),
(88, 'Middle Of The Night', 186, '3:06', '58HvfVOeJY7lUuCqF0m3ly', 'CfgcbCe9Z_o'),
(89, 'Killing Me', 166, '2:46', '2YWnuHePETrnicJV8E6NLI', 'HQnXbQTkO48'),
(90, 'Yenta', 189, '3:09', '5k3r2V5WY4PLWp4Vaw62i3', 'K7aaBHJQ7e8'),
(91, 'Nail To The Tooth', 219, '3:39', '5xI05mj56keeBC5j8sAewg', '-HhNjLgbwHk'),
(92, 'Split (Kill It)', 209, '3:29', '6m1oV7BqWTD6QLP2zLIX8V', 'DAf9q0mGhr0'),
(93, 'Friends', 230, '3:50', '1Q3rOI4ia277WRYzNm0Oor', 'GAs1HettADw'),
(94, 'Your Love Is My Drug - 8 Bit Slowed', 112, '1:52', '2jQiSYrwJehQAcuaaQrXnS', 'xKtkpHsK7jI'),
(95, 'Deimos', 218, '3:38', '6Jnhu3lcS1eonFFS9Chdg7', 'QxhKWij12Jk'),
(96, 'All is Not Well', 264, '4:24', '725KmazNobzYJQ364AAgld', 'wiyHvuYGKXY'),
(97, 'BLOODSPORT', 174, '2:54', '2Xtw8Z6EohN0H6RSkVUQPe', 'slVy62a6DRs'),
(98, 'Anxiety', 235, '3:55', '4BwP2iDyl51903WTKoaJH0', '1IVCVHBJQBM'),
(99, 'Reincarnation', 221, '3:41', '5NlsDTIYyp0otqYM4ZO7pb', 'alJhVsqaO-U'),
(100, 'Reincarnation', 286, '4:46', '1skk7mZtO7Ks6H1LTka0NU', 'q4i3IgTjVMY'),
(101, 'Sunshine the Werewolf', 257, '4:17', '1L1vm8bkIyaSXLHiQkr8DV', 'bSVigmB6cqM'),
(102, 'Stitch', 205, '3:25', '1L1vm8bkIyaSXLHiQkr8DV', 'pEDlO-jRNZo'),
(103, 'Suicide Bombshell', 289, '4:49', '0Pl5XX0MbdQ5E702GBhnUn', 'DE7oZ9nVFB0'),
(104, 'Dimensional Bleed', 159, '2:39', '5OFzghq9SVT8LHMa8R4jIB', '6HHvFsSyNzI'),
(105, 'Disintegrate', 240, '4:00', '5n53nDdWK0IYXmqfsSG8nS', 'gxK3iuq97rk'),
(106, 'Lost in a Wave', 224, '3:44', '56iX37c3jvxDKJ5WaXrPRG', 'ark0yIRTr-k'),
(107, "L'Isonzo mormorava (Terza battaglia dell'Isonzo)", 318, '5:18', '6Hye4TXeYUXzU0tWofYdhC', 'uHSl0Zpw2pw'),
(108, 'Eugnot', 107, '1:47', '76V2XkqS6Doii0M1a76eVb', 'BsapG9wPb-k'),
(109, 'Jesus Virus', 212, '3:32', '06SdkCkSKf66Uy0lbLYgL4', 'sWzY4M4xVkk'),
(110, 'Back to Reality', 343, '5:43', '5TuWXom0FwfTOGoCcADMiF', 'uvCn6bfRZ3U'),
(111, 'TO THE MOON', 152, '2:32', '4GPq4XOfqPQB6jxgTiOFkB', 'yfsJrmJ-1Hs'),
(112, 'Starman - 2012 Remaster', 254, '4:14', '5vUnjhBzRJJIAOJPde6zDx', 'Q_6OZd6FFYg'),
(113, 'lavender haze', 200, '3:20', '0pQskrTITgmCMyr85tb9qq', 'aBKEt3MhNMM'),
(114, 'Youngest Daughter', 249, '4:09', '3iLbAzydmYrTPSmOUCtIV4', 'q_klMBaf8hs'),
(115, 'Twisted Transistor', 188, '3:08', '3tYxhPqkioZEV5el3DJxLQ', '9pSQhUXPHAs'),
(116, 'Pan', 333, '5:33', '77VW8u6inET54YAKN1RSnd', 'qbd_4xkZrjM'),
(117, 'Last Ride', 299, '4:59', '4S0iFqlxNbwThYQWRgvBDB', 'EclL-8laqdw'),
(118, 'Droptop', 147, '2:27', '6BU99PuLVPrwuVwq7iQthb', '8JMMjCyyznI'),
(119, 'Calojira', 128, '2:08', '64Xdjn7A1oyDvN7c6VFdEb', 'nUOAI56OyhU'),
(120, 'Glimpse of Us', 233, '3:53', '71llQYfgjYzjYJQUHht86K', 'nUOAI56OyhU'),
(121, 'O Father O Satan O Sun!', 433, '7:13', '6xGruZOHLs39ZbVccQTuPZ', 'EuiPRLz8g2Y'),
(122, 'Leathers', 248, '4:08', '2FsDybzWgntIa8M3Y7AenT', '05hAQWiX4F4'),
(123, 'The Negative', 208, '3:28', '0RLhtEt50QUwKXNwKI4dSJ', 'phJlKUCDrdg'),
(124, 'Tailspin', 196, '3:16', '0zCKGZGsiM3f9njR9LhteE', None),
(125, 'Farewell', 296, '4:56', '20LvFcZE98jHaKkXn08GHe', None),
(126, 'Thallium', 290, '4:50', '6PjXyIjtLy7qHafaBf6N2t', None),
(127, 'Broken', 260, '4:20', '370kYPrqIMX4FHOrDkkSDz', None),
(128, 'The Woven Web', 247, '4:07', '7ficUGdIzA4AGndqhHvDWD', None),
(129, 'Soothsayer (Dedicated to Aunt Suzie)', 544, '9:04', '4j6ascTxs21rACPdPpqFQN', None),
(130, 'Sulfur Surrounding', 227, '3:47', '5VBwLOZDyDWInNYIUniuZG', None),
(131, 'Mudshovel', 282, '4:42', '3Cv8EsifESHL5aYwcY2H6k', None),
(132, 'The Remedy', 367, '6:07', '6vYgIluU2BSLAlq1CWycyl', 'fkGZO_CQxpo'),
(133, 'Outlawz', 224, '3:44', '57ULv0uC3dyWCxqh8AtOh8', None),
(134, 'Chop Suey!', 210, '3:30', '2TcJXdj2xzVWbxZYGEeIba', None),
(135, 'Moses', 246, '4:06', '2DlHlPMa4M17kufBvI2lEN', None),
(136, 'Mother', 204, '3:24', '0rn5mDokkwcAuGQGnmBsA1', None),
(138, 'Is It Really You?', 288, '4:48', None, 'l4GA2yu0KdI'),
(140, "93 'Til Infinity", 287, '4:47', None, 'iE2mPfARuqs'),
(141, 'Derek', 242, '4:02', None, '4Z0TeaTzo_U'),
(142, 'White Hot', 210, '3:30', None, 'IxS_johMixw'),
(143, 'Near Vision', 106, '1:46', '6NCUsc3nuKxBTyH4E4Pu5c', None),
(144, 'TU X ME', 170, '2:50', '0iBupjc5nBo53OSxCwX4XV', None),
(145, 'The Long Road North', 604, '10:04', '2UXtA9hSGW4XCDkimfkrOS', None)
